Acronym,Meaning,Definition
000s,thousands,
AA,Annual Allocation,
Adj,"adjusted value, using Mohn's rho",
AGEPRO,Age-Structured Projection Model,
AIM,An Index Model,
AOP,Assessment Oversight Panel,
AR,Autoregressive model,
ASM,at-sea monitoring,
BLLS,Bottom Longline Survey,
BLSPR,biomass at 50% of spawning potential rate,
BM,biomass,
BMrho,biomass amount adjusted according to Mohn's rho value,
BMSY,biomass maximum sustainable yield,
BMSYpr,proxy estimate for biomass maximum sustainable yield,
BTar,theoretically ideal biomass,
BTerm,terminal year biomass,
BThr,threshold for biomass that indicates overfished status,
CA,Canada,
CAA,Catches-at-age,
CAMS,Catch Accounting and Monitoring System,
CAR,Conditional Auto-Regressive model,
CC,Cape Cod,
CHESMAP,Chesapeake Bay Multispecies Monitoring and Assessment Program,
CJFAS,Canadian Journal of Fisheries and Aquatic Sciences,
CLF,Conservation Law Foundation,
cm,"centimeters, fish length",
cmmt,metric tonnes of catch at least of specified length,
cmplus,catch at least of specified length in centimeters,
CRD,Center Reference Document,
CSE,Council of Science Editors,
CTLISTS,Connecticut Long Island Sound Trawl Survey,
DMIS,Database,
DMF,Division of Marine Fisheries,
DMR,Department of Marine Resources,
DWF,distant water fleets,
DWS,Data Weighting Scenario model,
ECOMON,Ecosystem Monitoring,
EFull,exploitation mortality on fully selected ages,
EMSY,exploitation rate for maximum sustainable yield,
EMSYpr,proxy exploitation rate for maximum sustainable yield,
ESS,expeditionary support ship,
EXL,exploitation rate at 40% of the total catch,
F,(instantaneous) fishing mortality rate,
FAVG,averaged fishing mortality,
Fbar5:7,average fishing mortality for fish aged 5 to 7 years,
Fbar7:8,average fishing mortality for fish aged 7 to 8 years,
FFull,fishing mortality on fully selected ages,
FL,fishing mortality at 50% of MSY,
flat sel,flat-topped survey selectivity,
FLSPR,fishing mortality for 50% of spawning potential rate,
FLXSPR,fishing rate at 60% of the spawning potential ratio,
FMSY,fishing mortality for maximum sustainable yield,
FMSYpr,proxy fishing rate for maximum sustainable yield,
Fratio,ratio of F to threshold for F,
FRebuild,fishing mortality rate for stock rebuilding plan,
Frho,rho-adjusted value for the fishing rate,
FTar,ideal fishing mortality level for sustainability,
FTerm,terminal year fishing mortality rate,
FThr,threshold fishing mortality for overfishing status,
FV,fishing vessel,
FXL,fishing rate at 40% of the total catch,
FXLMSP,fishing rate at 40% of maximum spawning potential,
FXLSPR,fishing mortality for 40% of spawning potential rate,
FXX,fishing rate at 20% of the total catch,
GARFO,Greater Atlantic Regional Fisheries Office,
GARM,Groundfish Assessment Review Meeting,
GARM III,"3rd Groundfish Assessment Review Meeting, 2008",
GB,Georges Bank,
GMRF,Gaussian Markov random field,
Int,International landings,
kg,kilograms,
kgtow,kilograms per tow,
km,kilometers,
kt,kiloton = thousand metric tons,
lognorm,probability distribution whose log is normal,
LPUE,Landings Per Unit Effort,
M,(instantaneous) natural mortality rate,
MARMAP,Marine Resources Monitoring and Assessment Program,
MNKN,northern monkfish,
MNKS,southern monkfish,
MRFSS,Marine Recreational Fisheries Statistics Survey,
Mrho,Mohn's rho parameter (average relative bias),
MSP,maximum spawning potential,
MSY,maximum sustainable yield,
MSYpr,proxy value for maximum sustainable yield,
MSYXL,forty percent of maximum sustainable yield,
MTA,Management Track Assessment,
Mramp,model: natural mortality ramped increase,
NAA,Numbers-at-age,
NCDMF,North Carolina Division of Marine Fisheries,
NDPSWG,Northeast Data Poor Stocks Working Group,
NOAAS,NOAA ship,
OA,"Operational Assessment, biennial",
OPTUNIT,ocean pout,
OQUNIT,Ocean quahog,
PLA,American plaice,
PopDy,Population Dynamics branch of NEFSC,
Proj. Adj.,projected adjustment,
Q,catchability coefficient,
QUEST,Quantitative Ecology and Socioeconomics Training,
Recr,expected recruitment numbers,
REDUNIT,Acadian redfish,
RIDFW,Rhode Island Department of Fish and Wildlife,
RMSY,expected recruitment at MSY biomass,
RZero,unfished equilibrium recruitment,
RV,research vessel,
SASINF,Stock Assessment Support Information,
SCALE,Statistical Catch at Length Model,
scalldr,scallop dredge,
SCUNIT,Atlantic surfclam,
SEAMAP,Southeast Area Monitoring and Assessment Program,
SK,Saltonstall--Kennedy competitive grant,
SMAST,School for Marine Science and Technology,
SP,stochastic projection,
SPRLX,60% of the spawning potential ratio,
SSB,spawning stock biomass,
SSBMSY,spawning stock biomass at MSY,
SSBMSYpr,proxy SSB for maximum sustainable yield,
SSBpr,proxy value for spawning stock biomass estimate,
SSBratio,ratio of SSB to SSB threshold,
SSBrho,SSB adjusted according to Mohn's rho value,
SSBTar,ideal spawning stock biomass level,
SSBThr,threshold for SSB indicating overfished status,
SSBXL,equilibrium SSB at 40% of MSY,
SUNY,State University of New York,
survB,survey biomass,
TMGC,Transboundary Management Guidance Committee,
TOGA,"Type, Operation, Gear, and Acquisition",
TRAC,Transboundary Resources Assessment Committee,
UMASS,University of Massachusetts,
URI,"Univ. of Rhode Island, GSO",
WAA,Weight-at-age,
WHAM,Woods Hole Assessment Model,
YC,catch years,
ABC,acceptable biological catch,
ACL,annual catch limit,
ACT,annual catch target,
ALK,age-length-key,
