Acronym,Meaning,Definition
Bogoslof Island Northern Fur Seal (NFS) Abundance Trend Monitoring,AEP Bogoslof Island Northern fur Seal Population_Summer,
Foraging Ecology and Health of Adult Female Steller Sea Lions (AEPSSL),AEP Gulf of Alaska/Aleutian Islands W. Stock Steller Sea Lion Vital Rates_Spring,
Steller Sea Lion Vital Rate and Pup Health Studies,AEP Gulf of Alaska/Aleutian Islands W. Stock Steller Sea Lion Vital Rates_Spring,
Aleutian Islands Steller Sea Lion Vital Rates Studies,AEP Gulf of Alaska/Aleutian Islands W. Stock Steller Sea Lion Vital Rates_Spring,
Gulf of Alaska Steller sea lion vital rates studies,AEP Gulf of Alaska/Aleutian Islands W. Stock Steller Sea Lion Vital Rates_Spring,
Cook Inlet Beluga (CIB) Demography and Condition_UAS,CAEP Cook Inlet Beluga UxS Survey_Summer,
North Pacific Right Whale_Summer,CAEP Gulf of Alaska North Pacific Right Whale_Summer,
California Sea Lion Marking for Vital Rates,"CCEP West Coast California Sea Lion Abundance, Vital Rate and Ecological Assessments_Land_Any Season",
California Sea Lion Pup Condition Assessment for Stranding Program,"CCEP West Coast California Sea Lion Abundance, Vital Rate and Ecological Assessments_Land_Any Season",
Cook Inlet beluga Biopsy survey,Cook Inlet Beluga (CIB) Health and genetics_Biopsy,
Arctic Ecosystem Distributed Biological Observatory,EcoFOCI Arctic Ecosystem Distributed Biological Observatory_Fall,
Bering Sea Moorings and Zooplankton Survey_Spring (PMEL),EcoFOCI Eastern Bering Sea & Gulf of Alaska Moorings_Spring,
Plankton survey,EcoFOCI Eastern Bering Sea Ichthyoplankton_Spring,
Spring and Fall Plankton and Oceanographic Surveys,EcoFOCI Eastern Bering Sea Ichthyoplankton_Spring,
EMA-FOCI Larval Groundfish Assessment,EcoFOCI Eastern Bering Sea Ichthyoplankton_Spring,
Fall juvenile survey,EMA Eastern Bering Sea Juvenile Fish_Fall,
Fall Juvenile Fish Survey in the Southeastern Bering Sea and Gulf of Alaska,EMA Eastern Bering Sea Juvenile Fish_Fall,
BASIS/FOCI Southeastern Bering Sea,EMA Eastern Bering Sea Juvenile Fish_Fall,
BASIS survey,EMA Northern Bering Sea Ecosystem Surface Trawl_Fall,
Northern Bering Sea Ecosystem Survey,EMA Northern Bering Sea Ecosystem Surface Trawl_Fall,
BASIS_Fall,EMA Northern Bering Sea Ecosystem Surface Trawl_Fall,
BASIS Northern Bering Sea,EMA Northern Bering Sea Ecosystem Surface Trawl_Fall,
SECM survey,EMA Southeast Alaska Coastal Monitoring_Summer,
Southeast Coastal Monitoring Age-0 Groundfish and Salmon Survey,EMA Southeast Alaska Coastal Monitoring_Summer,
Kodiak Age-0/1 Pacific Cod Nursery Habitat,FBEP Kodiak Nearshore Fish Survey small boat_Summer,
North Pacific Nearshore Fish Survey,FBEP Kodiak Nearshore Fish Survey small boat_Summer,
AI trawl survey,GAP Aleutian Island Bottom Trawl_Summer,
Aleutian Islands Bottom Trawl Survey,GAP Aleutian Island Bottom Trawl_Summer,
