All,Acronym,Meaning,Definition
AA –Assistant Administrator,AA,Assistant Administrator,
"ACL –annual catch limit –the level of catch, set equal to or below the OFL, to prevent overfishing from occurring",ACL,annual catch limit ,"the level of catch, set equal to or below the OFL, to prevent overfishing from occurring"
ACT –annual catch target –set below the ACL at a level to ensure the ACL is not exceeded and to account for management uncertainty,ACT,annual catch target ,set below the ACL at a level to ensure the ACL is not exceeded and to account for management uncertainty
ADCNR –Alabama Department of Conservation and Natural Resources –Alabama's state agency for the management and conservation of wildlife and aquatic resources,ADCNR,Alabama Department of Conservation and Natural Resources ,Alabama's state agency for the management and conservation of wildlife and aquatic resources
"ALS –Accumulated Landings System (commercial fishing statistics) –data system housed by the SEFSC includes all commercial fishery data from the SE region of the U.S., commercial landings information usually reported by dealers on ""trip tickets"" to state agencies that go to regional commission databases then to this system",ALS,Accumulated Landings System (commercial fishing statistics) ,"data system housed by the SEFSC includes all commercial fishery data from the SE region of the U.S., commercial landings information usually reported by dealers on ""trip tickets"" to state agencies that go to regional commission databases then to this system"
AM –accountability measure  –management controls to prevent annual catch limits from being exceeded and to correct or mitigate overages of the annual catch limit if they occur,AM,accountability measure  ,management controls to prevent annual catch limits from being exceeded and to correct or mitigate overages of the annual catch limit if they occur
AP –Advisory Panel –panel of members made up of individuals with knowledge and first-hand experience of harvesting Gulf of Mexico managed species and are interested in the conservation and best practices for management of these fishery resources,AP,Advisory Panel ,panel of members made up of individuals with knowledge and first-hand experience of harvesting Gulf of Mexico managed species and are interested in the conservation and best practices for management of these fishery resources
APA –Administrative Procedures Act –the governing process by which federal agencies develop and issue regulations. This process includes publishing in the Federal Register and the ability for the public to comment on proposed regulations,APA,Administrative Procedures Act ,the governing process by which federal agencies develop and issue regulations. This process includes publishing in the Federal Register and the ability for the public to comment on proposed regulations
APAIS –Access Point Angler Intercept Survey –the dockside intercept portion of the federal recreational angler survey commonly known as MRIP,APAIS,Access Point Angler Intercept Survey ,the dockside intercept portion of the federal recreational angler survey commonly known as MRIP
"ASAP –age-structured assessment program –an age-structured stock assessment model that uses various components to estimate population sizes based on observed catches, catch-at-age and indices of abundance",ASAP,age-structured assessment program ,"an age-structured stock assessment model that uses various components to estimate population sizes based on observed catches, catch-at-age and indices of abundance"
ASMFC –Atlantic States Marine Fisheries Commission –a commission comprising the Atlantic states formed to coordinate and manage fishery resources along the Atlantic coast,ASMFC,Atlantic States Marine Fisheries Commission ,a commission comprising the Atlantic states formed to coordinate and manage fishery resources along the Atlantic coast
B –stock biomass level –the total weight or volume of a stock of fish; often used in conjunction with other management acronyms such as MSY,B,stock biomass level ,the total weight or volume of a stock of fish; often used in conjunction with other management acronyms such as MSY
"BB –Briefing Book –the group of materials, including documents and presentations, prepared in advance of a Council meeting to provide background information on topics that will be discussed during the meeting",BB,Briefing Book ,"the group of materials, including documents and presentations, prepared in advance of a Council meeting to provide background information on topics that will be discussed during the meeting"
"Bi Op –biological opinion –issued by various NOAA regional offices on a range of topics such as fisheries, dredging and offshore winds, these opinions essentially specify the conditions by which federal agencies must comply in order to minimize impacts from federal actions, usually for any actions that may affect ESA-listed species",Bi Op,biological opinion ,"issued by various NOAA regional offices on a range of topics such as fisheries, dredging and offshore winds, these opinions essentially specify the conditions by which federal agencies must comply in order to minimize impacts from federal actions, usually for any actions that may affect ESA-listed species"
BM –base model –the assessment model used to perform an assessment of a stock to determine status and appropriate management measures; remains consistent with previous models used in SEDAR assessments; other supplemental analyses and models are often used in conjunction with the base model,BM,base model ,the assessment model used to perform an assessment of a stock to determine status and appropriate management measures; remains consistent with previous models used in SEDAR assessments; other supplemental analyses and models are often used in conjunction with the base model
B MAX,B MAX,#VALUE!,#VALUE!
B MSY –Biomass at Max Sustainable Yield –stock biomass level capable of producing an equilibrium yield at maximum sustainable yield,B MSY,Biomass at Max Sustainable Yield ,stock biomass level capable of producing an equilibrium yield at maximum sustainable yield
BRD –bycatch reduction device –a piece of equipment designed with the specific purpose of minimizing unintended capture of marine mammals,BRD,bycatch reduction device ,a piece of equipment designed with the specific purpose of minimizing unintended capture of marine mammals
"BRP –biological reference point –benchmarks against which actual status of a fish stock can be measured, usually maximum or target fishing mortality rates or minimum stock biomass levels",BRP,biological reference point ,"benchmarks against which actual status of a fish stock can be measured, usually maximum or target fishing mortality rates or minimum stock biomass levels"
"CCC –Council Coordination Committee –committee made up of chairs, vice chairs, and regional directors of each regional fishery management council. The committee meets twice each year to discuss issues pertinent to all the councils",CCC,Council Coordination Committee ,"committee made up of chairs, vice chairs, and regional directors of each regional fishery management council. The committee meets twice each year to discuss issues pertinent to all the councils"
CEA –Cumulative Effects Analysis,CEA,Cumulative Effects Analysis,
CEQ –Council on Environmental Quality –a division of the Executive Branch that coordinates federal environmental efforts and oversees NEPA implementation,CEQ,Council on Environmental Quality ,a division of the Executive Branch that coordinates federal environmental efforts and oversees NEPA implementation
CFDBS –Commercial Fisheries Data Base System,CFDBS,Commercial Fisheries Data Base System,
CFL –Coastal Fisheries Logbook,CFL,Coastal Fisheries Logbook,
CFLP –Commercial Fisheries Logbook Program,CFLP,Commercial Fisheries Logbook Program,
"CFMC –Caribbean Fishery Management Council –one of eight regional councils, responsible for managing fishery resources in the Caribbean Exclusive Economic Zone off Puerto Rico and the U.S. Virgin Islands",CFMC,Caribbean Fishery Management Council ,"one of eight regional councils, responsible for managing fishery resources in the Caribbean Exclusive Economic Zone off Puerto Rico and the U.S. Virgin Islands"
CFR –Code of Federal Regulations –the codification of the general and permanent rules published in the Federal Register,CFR,Code of Federal Regulations ,the codification of the general and permanent rules published in the Federal Register
CHTS –Coastal Household Telephone Survey –survey used to collect recreational fishing effort information through random-digit dialing of residential households. Replaced by the FES survey in 2018.,CHTS,Coastal Household Telephone Survey ,survey used to collect recreational fishing effort information through random-digit dialing of residential households. Replaced by the FES survey in 2018.
CI –confidence interval –upper and lower limits that bound a plausible range of values or a specified probability that a parameter value lies within this range,CI,confidence interval ,upper and lower limits that bound a plausible range of values or a specified probability that a parameter value lies within this range
CLM –commercial landings monitoring,CLM,commercial landings monitoring,
CM –continuity model,CM,continuity model,
CMP –coastal migratory pelagics,CMP,coastal migratory pelagics,
COI –certificate of inspection,COI,certificate of inspection,
Council –Gulf of Mexico Fishery Management Council,Council,Gulf of Mexico Fishery Management Council,
CPI –Consumer Price Index,CPI,Consumer Price Index,
CPUE –catch per unit effort,CPUE,catch per unit effort,
CS –Consumer surplus,CS,Consumer surplus,
CZMA –Coastal Zone Management Act,CZMA,Coastal Zone Management Act,
DEIS –draft environmental impact statement,DEIS,draft environmental impact statement,
DOC –Department of Commerce,DOC,Department of Commerce,
DPNR –Department of Planning and Natural Resources of the USVI,DPNR,Department of Planning and Natural Resources of the USVI,
DPS –distinct population segment,DPS,distinct population segment,
DQA –Data Quality Act,DQA,Data Quality Act,
DWG –deep-water grouper,DWG,deep-water grouper,
DWH –Deepwater Horizon,DWH,Deepwater Horizon,
E.O. –Executive Order,E.O.,Executive Order,
EA –environmental assessment,EA,environmental assessment,
EBFM –Ecosystem-based fishery management,EBFM,Ecosystem-based fishery management,
EC –ecosystem component species,EC,ecosystem component species,
EEZ –exclusive economic zone,EEZ,exclusive economic zone,
EFH –essential fish habitat,EFH,essential fish habitat,
EIS –environmental impact statement,EIS,environmental impact statement,
EJ –environmental justice,EJ,environmental justice,
ELB –electronic logbook,ELB,electronic logbook,
ELMR –Estuarine Living Marine Resources,ELMR,Estuarine Living Marine Resources,
EPA –Environmental Protection Agency,EPA,Environmental Protection Agency,
ER –ecological reserve,ER,ecological reserve,
ESA –Endangered Species Act,ESA,Endangered Species Act,
F –instantaneous rate of fishing mortality,F,instantaneous rate of fishing mortality,
F30% SPR –fishing mortality corresponding to 30% spawning potential ratio,F30% SPR,fishing mortality corresponding to 30% spawning potential ratio,
FAC –Florida Administrative Code,FAC,Florida Administrative Code,
FAO –Food and Agriculture Organization (United Nations),FAO,Food and Agriculture Organization (United Nations),
