All,Acronym,Meaning,
ABC Acceptable Biological Catch,ABC,Acceptable Biological Catch,
ACL Annual Catch Limit,ACL,Annual Catch Limit,
ACT Annual Catch Target,ACT,Annual Catch Target,
APA Administrative Procedure Act,APA,Administrative Procedure Act,
ASMFC Atlantic States Marine Fisheries Commission (Commission),ASMFC,Atlantic States Marine Fisheries Commission,
"Board ASMFC Summer Flounder, Scup, and Black Sea Bass Board",Board,"ASMFC Summer Flounder, Scup, and Black Sea Bass Board",
CFR Code of Federal Regulations,CFR,Code of Federal Regulations,
Commission Atlantic States Marine Fisheries Commission (ASMFC),Commission,Atlantic States Marine Fisheries Commission (ASMFC),
Council Mid-Atlantic Fishery Management Council (MAFMC),Council,Mid-Atlantic Fishery Management Council (MAFMC),
CZMA Coastal Zone Management Act,CZMA,Coastal Zone Management Act,
DSP Distinct Population Segment,DSP,Distinct Population Segment,
EA Environmental Assessment,EA,Environmental Assessment,
EFH Essential Fish Habitat,EFH,Essential Fish Habitat,
EO Executive Order,EO,Executive Order,
ESA Endangered Species Act,ESA,Endangered Species Act,
FMP Fishery Management Plan,FMP,Fishery Management Plan,
FR Federal Register,FR,Federal Register,
GARFO Greater Atlantic Regional Fisheries Office,GARFO,Greater Atlantic Regional Fisheries Office,
MAFMC Mid-Atlantic Fishery Management Council,MAFMC,Mid-Atlantic Fishery Management Council,
MC Monitoring Committee,MC,Monitoring Committee,
MMPA Marine Mammal Protection Act,MMPA,Marine Mammal Protection Act,
MRIP Marine Recreational Information Program,MRIP,Marine Recreational Information Program,
MSA Magnuson-Stevens Fishery Conservation and Management Act,MSA,Magnuson-Stevens Fishery Conservation and Management Act,
MSY Maximum Sustainable Yield,MSY,Maximum Sustainable Yield,
NEFSC Northeast Fisheries Science Center,NEFSC,Northeast Fisheries Science Center,
NEPA National Environmental Policy Act,NEPA,National Environmental Policy Act,
NMFS National Marine Fisheries Service (also known as NOAA Fisheries),NMFS,National Marine Fisheries Service (also known as NOAA Fisheries),
NOAA National Oceanic and Atmospheric Administration,NOAA,National Oceanic and Atmospheric Administration,
OFL Overfishing Limit,OFL,Overfishing Limit,
PBR Potential Biological Removal,PBR,Potential Biological Removal,
PRA Paperwork Reduction Act,PRA,Paperwork Reduction Act,
RHL Recreational Harvest Limit,RHL,Recreational Harvest Limit,
SIR Supplemental Information Report,SIR,Supplemental Information Report,
SSB Spawning Stock Biomass,SSB,Spawning Stock Biomass,
SSC Scientific and Statistical Committee,SSC,Scientific and Statistical Committee,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"AA Annual Allocation 15, 24, 33, 37",AA,Annual Allocation,
ABC acceptable biological catch 11,ABC,acceptable biological catch,
ACL annual catch limit 32,ACL,annual catch limit,
"ALK age-length-key 51, 54",ALK,age-length-key,
