"","source","Acronym","Meaning","Definition","meaning_lower","n","duplicated_ac","duplicated_mean"
"1",NA,"AA","Annual Allocation",NA,"annual allocation",2,"Y",NA
"2",NA,"AA","Assistant Administrator",NA,"assistant administrator",2,"Y",NA
"3",NA,"AAC","Alaska Administrative Code",NA,"alaska administrative code",NA,NA,NA
"4","ASMFC","ABC","Acceptable Biological Catch","An annual catch level recommended by a Council's SSC. The Council's ACL for a stock may not exceed the ABC recommendation of the SSC for that stock. The SSC's ABC recommendation should incorporate consideration of the stock's life history and reproductive potential, vulnerability to overfishing, and the degree of uncertainty in the science upon which the ABC recommendation is based.","acceptable biological catch",2,"Y","Y"
"5","PFMC","ABC","acceptable biological catch","The ABC is a scientific calculation of the sustainable harvest level of a fishery and is used to set the upper limit of the annual total allowable catch. It is calculated by applying the estimated (or proxy) harvest rate that produces maximum sustainable yield to the estimated exploitable stock biomass (the portion of the fish population that can be harvested).","acceptable biological catch",2,"Y","Y"
"6",NA,"ABM","Abundance-Based Management",NA,"abundance-based management",NA,NA,NA
"7","ASMFC","ACCSP","Atlantic Coastal Cooperative Statistics Program","A cooperative state- federal program to design, implement, and conduct marine fisheries statistics data collection programs and to integrate those data into a single data management system that will meet the needs of fishery managers, scientists, and fishermen.","atlantic coastal cooperative statistics program",NA,NA,NA
"8",NA,"ACE","Accumulated Cyclone Energy",NA,"accumulated cyclone energy",2,"Y",NA
"9",NA,"ACE","Annual Catch Entitlement",NA,"annual catch entitlement",2,"Y",NA
"10","ASMFC","ACFCMA","Atlantic Coastal Fisheries Cooperative Management Act","Federal legislation, passed in December 1993 that provides a mechanism to ensure Atlantic coastal state compliance with mandated conservation measures in Commission-approved fishery management plans.","atlantic coastal fisheries cooperative management act",NA,NA,NA
"11","ASMFC","ACFHP","Atlantic Coastal Fish Habitat Partnership","A partnership of state, federal, local, and non-governmental entities aimed at protecting, restoring, and enhancing fish and aquatic communities along the Atlantic coast.","atlantic coastal fish habitat partnership",NA,NA,NA
"12","GMFMC","ACL","annual catch limit","the level of catch, set equal to or below the OFL, to prevent overfishing from occurring","annual catch limit",2,"Y",NA
"13","ASMFC","ACL","Annual Catch Limits","The level of annual catch of a stock or stock complex that serves as the basis for invoking [accountability measures]. ACL cannot exceed the ABC, but may be divided into sector-ACLs.","annual catch limits",2,"Y",NA
"14",NA,"ACLG","Annual Catch Limit Working Group",NA,"annual catch limit working group",NA,NA,NA
"15","GMFMC","ACT","annual catch target","set below the ACL at a level to ensure the ACL is not exceeded and to account for management uncertainty","annual catch target",NA,NA,NA
"16","GMFMC","ADCNR","Alabama Department of Conservation and Natural Resources","Alabama's state agency for the management and conservation of wildlife and aquatic resources","alabama department of conservation and natural resources",NA,NA,NA
"17",NA,"ADFG","Alaska Department of Fish and Game",NA,"alaska department of fish and game",NA,NA,NA
"18",NA,"ADP","Annual Deployment Plan",NA,"annual deployment plan",NA,NA,NA
"19",NA,"AEQ","Adult equivalent",NA,"adult equivalent",NA,NA,NA
"20",NA,"AFA","American Fisheries Act",NA,"american fisheries act",NA,NA,NA
"21",NA,"AFSC","Alaska Fisheries Science Center",NA,"alaska fisheries science center",NA,NA,NA
"22",NA,"AI","Aleutian Islands",NA,"aleutian islands",NA,NA,NA
"23",NA,"AIS","Aquatic invasive species",NA,"aquatic invasive species",NA,NA,NA
"24",NA,"AK BOF","Alaska Board of Fisheries",NA,"alaska board of fisheries",NA,NA,NA
"25",NA,"AKFIN","Alaska Fisheries Information Network",NA,"alaska fisheries information network",NA,NA,NA
"26",NA,"AKR","Alaska Region",NA,"alaska region",NA,NA,NA
"27",NA,"AKRO","Alaska Regional Office",NA,"alaska regional office",NA,NA,NA
"28",NA,"ALJ","Administrative Law Judge",NA,"administrative law judge",NA,NA,NA
"29",NA,"ALK","age-length-key",NA,"age-length-key",NA,NA,NA
"30","SAFMC","ALS","Accumulated Landings System","Commercial fishing statistics","accumulated landings system",2,"Y",NA
"31","GMFMC","ALS","Accumulated Landings System (commercial fishing statistics)","data system housed by the SEFSC includes all commercial fishery data from the SE region of the U.S., commercial landings information usually reported by dealers on ""trip tickets"" to state agencies that go to regional commission databases then to this system","accumulated landings system (commercial fishing statistics)",2,"Y",NA
"32","GMFMC","AM","accountability measure","management controls to prevent annual catch limits from being exceeded and to correct or mitigate overages of the annual catch limit if they occur","accountability measure",2,"Y",NA
"33","ASMFC","AM","Accountability Measures","Measures taken to prevent ACLs from being exceeded and to rectify the harm that may result if catch does exceed ACL.","accountability measures",2,"Y",NA
"34",NA,"AMP","Adaptive Management Program",NA,"adaptive management program",NA,NA,NA
"35",NA,"ANILCA","Alaska National Interest Lands Conservation Act",NA,"alaska national interest lands conservation act",NA,NA,NA
"36",NA,"AOP","Assessment Oversight Panel",NA,"assessment oversight panel",NA,NA,NA
