"","source","Acronym","Meaning","Definition","n","duplicated_ac","duplicated_mean"
"1",NA,"AA","Annual Allocation",NA,2,"Y",NA
"2",NA,"AA","Assistant Administrator",NA,2,"Y",NA
"3","ASMFC","ABC","Acceptable Biological Catch","An annual catch level recommended by a Council's SSC. The Council's ACL for a stock may not exceed the ABC recommendation of the SSC for that stock. The SSC's ABC recommendation should incorporate consideration of the stock's life history and reproductive potential, vulnerability to overfishing, and the degree of uncertainty in the science upon which the ABC recommendation is based.",2,"Y","Y"
"4","PFMC","ABC","acceptable biological catch","The ABC is a scientific calculation of the sustainable harvest level of a fishery and is used to set the upper limit of the annual total allowable catch. It is calculated by applying the estimated (or proxy) harvest rate that produces maximum sustainable yield to the estimated exploitable stock biomass (the portion of the fish population that can be harvested).",2,"Y","Y"
"5",NA,"ACE","Accumulated Cyclone Energy",NA,2,"Y",NA
"6",NA,"ACE","Annual Catch Entitlement",NA,2,"Y",NA
"7","GMFMC","ACL","annual catch limit","the level of catch, set equal to or below the OFL, to prevent overfishing from occurring",2,"Y",NA
"8","ASMFC","ACL","Annual Catch Limits","The level of annual catch of a stock or stock complex that serves as the basis for invoking [accountability measures]. ACL cannot exceed the ABC, but may be divided into sector-ACLs.",2,"Y",NA
"9","SAFMC","ALS","Accumulated Landings System","Commercial fishing statistics",2,"Y",NA
"10","GMFMC","ALS","Accumulated Landings System (commercial fishing statistics)","data system housed by the SEFSC includes all commercial fishery data from the SE region of the U.S., commercial landings information usually reported by dealers on ""trip tickets"" to state agencies that go to regional commission databases then to this system",2,"Y",NA
"11","GMFMC","AM","accountability measure","management controls to prevent annual catch limits from being exceeded and to correct or mitigate overages of the annual catch limit if they occur",2,"Y",NA
"12","ASMFC","AM","Accountability Measures","Measures taken to prevent ACLs from being exceeded and to rectify the harm that may result if catch does exceed ACL.",2,"Y",NA
"13","ASMFC","AP","Advisory Panel","A group of interested and knowledgeable persons (generally recreational and commercial fishermen) convened under the ASMFC's Advisory Committee Charter to assist in development of an FMP or amendment.",2,"Y","Y"
"14","GMFMC","AP","Advisory Panel","panel of members made up of individuals with knowledge and first-hand experience of harvesting Gulf of Mexico managed species and are interested in the conservation and best practices for management of these fishery resources",2,"Y","Y"
"15","ASMFC","ASMFC","Atlantic States Marine Fisheries Commission","An interstate compact of the 15 Atlantic coastal states with the vision of ""Sustainably managing Atlantic Coastal Fisheries""",2,"Y","Y"
"16","GMFMC","ASMFC","Atlantic States Marine Fisheries Commission","a commission comprising the Atlantic states formed to coordinate and manage fishery resources along the Atlantic coast",2,"Y","Y"
"17","ASMFC","B","Biomass","The total weight of a stock of fish.",3,"Y",NA
"18","SAFMC","B","Biomass","In either weight or other appropriate unit",3,"Y",NA
"19","GMFMC","B","stock biomass level","the total weight or volume of a stock of fish; often used in conjunction with other management acronyms such as MSY",3,"Y",NA
"20","GMFMC","BRD","bycatch reduction device","a piece of equipment designed with the specific purpose of minimizing unintended capture of marine mammals",2,"Y","Y"
"21","ASMFC","BRD","Bycatch reduction device","An opening in the shrimp trawl net that allows finfish or other accidentally captured aquatic animals to escape while the target species is directed towards the tail bag or cod end of the net.",2,"Y","Y"
"22","ASMFC","BRP","Biological reference point","A particular value of stock size, catch, fishing effort, or fishing mortality that may be used as a measure of stock status or management plan effectiveness. BRP's can be categorized as limits, targets, or thresholds depending on their intended use.",2,"Y","Y"
"23","GMFMC","BRP","biological reference point","benchmarks against which actual status of a fish stock can be measured, usually maximum or target fishing mortality rates or minimum stock biomass levels",2,"Y","Y"
"24","GMFMC","BiOp","biological opinion","issued by various NOAA regional offices on a range of topics such as fisheries, dredging and offshore winds, these opinions essentially specify the conditions by which federal agencies must comply in order to minimize impacts from federal actions, usually for any actions that may affect ESA-listed species",2,"Y","Y"
"25","PFMC","BiOp","Biological opinion","A scientific assessment issued by the National Marine Fisheries Service or U.S. Fish and Wildlife Service, as required by the Endangered Species Act for listed species. Determines the likelihood of an action to jeopardize the existence of a species listed under the Endangered Species Act.",2,"Y","Y"
"26",NA,"C","Average Catch",NA,2,"Y",NA
"27",NA,"C","Recent Average Catch",NA,2,"Y",NA
"28",NA,"CA","California",NA,2,"Y",NA
"29",NA,"CA","Canada",NA,2,"Y",NA
"30","PFMC","CCA","Cowcod Conservation Area(s)","Two areas located in the Southern California Bight southwest of Santa Monica to the California/Mexico border that encompass roughly 4,300 square nautical miles of habitat where the highest densities of cowcod occur. These areas are closed to bottom fishing in order to rebuild the cowcod stock.",2,"Y",NA
"31",NA,"CCA","Crustose Coralline Algae",NA,2,"Y",NA
"32","GMFMC","CFR","Code of Federal Regulations","the codification of the general and permanent rules published in the Federal Register",2,"Y","Y"
