module_name,alt_module_name,label,alt_label
parms,parameter,styr,start_year
parms,parameter,endyr,end_year
parms,parameter,styrR,recruitment_start_year
parms,parameter,M.constant,natural_mortality
parm.cons,growth,Linf,
parms,growth,Linf,
parm.cons,growth,K,K
parms,growth,K,K
parms,growth,t,
parms,growth,wgt.a,a_weight_length
parms,growth,wgt.b,b_weight_length
parms,,fec.a,x_fecundity
parms,,fec.b,y_fecundity
parms,,fec.batches,fec_batches
parms,,fec.scale,fec_scale
parms,recruitment,spawn.time,spawning_time
parms,population,D.mort,discard_mortality
parms,population,D.mort.lines,discard_mortality
parms,population,D.mort.HBlines,discard_mortality
parms,population,D.mort.GRlines,discard_mortality
,population,D.mort.cP,discard_mortality
parms,selectivity,q,catchability
t.series,selectivity,q,catchability
parm.cons,selectivity,q.rate,catchability_rate
parms,selectivity,q.rate,catchability_rate
parms,selectivity,q.beta,catchability_beta
parms,selectivity,q.DD.B0.4plus,q_DD_B0_4plus
parms,fleet,f.prop.d,f_prop_d
parms,fleet,F.prop,proportion_fishing_mortality
parms,fleet,F.prop.comm.D,proportion_fishing_mortality
parms,fleet,F.prop.hb.D,proportion_fishing_mortality
parms,fleet,F.prop.mrip.D,proportion_fishing_mortality
parms,fleet,F.init.ratio,inital_fishing_mortality
parms,population,Fend.mean,terminal_fishing_mortality
parms,population,B,biomass
t.series,population,B,biomass
parms,reference_point,Bstyr.B,biomass_start_year_biomass
parms,population,SSB,spawning_biomass
t.series,population,SSB,spawning_biomass
parms,reference_point,SSBstyr.SSB,spawning_biomass_start_year_spawning_biomass
parms,reference_point,ssbstyr.ssb0,spawning_biomass_start_year_spawning_biomass0
parms,reference_point,Rstyr.R,recruitment_start_year_recruitment
parms,reference_point,rstyr.r0,recruitment_start_year_R0
parms,parameter,Mean.biascorr,bias_correction
parms,reference_point,mean.r0,mean_R0
parms,reference_point,Mean.R,recruitment
parms,parameter,Phi,phi
parms,parameter,rec.mu.end,rec_mu_end
parms,,R.sigma.logdevs,R_sigma_logdevs
parms,,R.sigma.par,R_sigma_par
parms,,R.autocorr,recruitment_autocorrelation
parms,recruitment,R,recruitment
parms,reference_point,R.virgin.bc,recruitment_unfished_bc
parms,parameter,rec.lag,recruitment_lag
parms,reference_point,msy.klb,msy_weight
parms,reference_point,msy.knum,msy_numbers
parms,reference_point,Fmsy,fishing_mortality_msy
parms,reference_point,SSBmsy,spawning_biomass_msy
parms,reference_point,msst,msst
parms,reference_point,Bmsy,biomass_msy
parms,reference_point,Rmsy,recruitment_msy
parms,reference_point,sprmsy,spr_msy
parms,reference_point,Dmsy.knum,discard_msy_numbers
parms,reference_point,Dmsy.klb,discard_msy_weight
parms,reference_point,Fend.Fmsy,F_F_msy
parms,reference_point,Fend.Fmsy.mean,F_F_msy_mean
parms,reference_point,SSBend.SSBmsy,spawning_biomass_spawning_biomass_msy
parms,reference_point,SSBend.MSST,spawning_biomass_msst
parms,reference_point,Fproxy,F_target
spr.brps,reference_point,Fproxy,F_target
parms,reference_point,SSB.Fproxy,spawning_biomass_F_proxy
spr.brps,reference_point,SSB.Fproxy,spawning_biomass_F_proxy
parms,reference_point,msst.Fproxy,msst_F_proxy
spr.brps,reference_point,msst.Fproxy,msst_F_proxy
parms,reference_point,B.Fproxy,biomass_F_proxy
spr.brps,reference_point,B.Fproxy,biomass_F_proxy
parms,reference_point,R.Fproxy,R_F_proxy
spr.brps,reference_point,R.Fproxy,R_F_proxy
parms,reference_point,L.Fproxy.knum,landings_F_proxy
spr.brps,reference_point,L.Fproxy.knum,landings_F_proxy
parms,reference_point,L.Fproxy.klb,landings_F_proxy
spr.brps,reference_point,L.Fproxy.klb,landings_F_proxy
parms,population,Dmort,discard_mortality
parms,fleet,Dmort.GR,Dmort_GR
parms,fleet,Dmort.cP,Dmort_cP
spr.brps,reference_point,SPR.proxy.level,spr_proxy
spr.brps,reference_point,F30,F30
spr.brps,reference_point,F40,F40
spr.brps,reference_point,F50,F50
spr.brps,reference_point,Fend.Fproxy.mean,F_F_proxy
spr.brps,reference_point,SSBend.SSBFproxy,spawning_biomass_spawning_biomass_F_proxy
spr.brps,reference_point,SSBend.MSSTFproxy,spawning_biomass_msst_F_proxy
parm.cons,growth,t0,t0
parm.cons,growth,len_cv_val,
parm.cons,reference_point,log_R0,log_recruitment_unfished
parm.cons,parameter,steep,steepness
parm.cons,recruitment,rec_sigma,recruitment_sigma
parm.cons,recruitment,R_autocorr,recruitment_autocorrelation
parm.cons,,log_dm_lc,
,,log_dm_cP_lc,
parm.cons,,log_dm_D_lc,
parm.cons,,log_dm_Mcvt_ac,
parm.cons,,log_dm_ac,
,,log_dm_cP_ac,
parm.cons,selectivity,selpar.A50,selectivity_parameter_A50
sel.parms,selectivity,selpar.A50,selectivity_parameter_A50
parm.cons,selectivity,selpar.slope,selectivity_parameter_slope
sel.parms,selectivity,selpar.slope,selectivity_parameter_slope
parm.cons,selectivity,selpar.A502,selectivity_parameter_A50_2
sel.parms,selectivity,selpar.A502,selectivity_parameter_A50_2
parm.cons,selectivity,selpar.slope2,selectivity_parameter_slope_2
sel.parms,selectivity,selpar.slope2,selectivity_parameter_slope_2
parm.cons,selectivity,selpar_D_logit,selectivity_parameter_discard_logit
parm.cons,selectivity,log_q,log_catchability
parm.cons,population,M_constant,natural_mortality
parm.cons,fleet,log_avg_F,
parm.cons,fleet,log_avg_F_cP,
parm.cons,fleet,log_avg_F_cT,
parm.cons,fleet,log_avg_F_D,
parm.cons,population,F_init,initial_fishing_mortality
like,likelihood,lk.total,lk_total
like,likelihood,lk.unwgt.data,lk_unwgt_data
like,likelihood,lk.U,lk_U
like,likelihood,lk.L,lk_L
like,likelihood,lk.D,lk_D
