module_name,label,alt_label
DERIVED_QUANTITIES,SSB_Virgin,spawning_biomass_unfished
DERIVED_QUANTITIES,SSB_Initial,spawning_biomass_initial
DERIVED_QUANTITIES,SSB,spawning_biomass_initial
DERIVED_QUANTITIES,Recr_Virgin,recruitment_unfished
DERIVED_QUANTITIES,Recr_Initial,recruitment_initial
DERIVED_QUANTITIES,Recr,recruitment
DERIVED_QUANTITIES,SPRratio,spr_ratio
AGE_SELEX,F,fishing_mortality
DERIVED_QUANTITIES,F,fishing_mortality
F_AT_AGE,F,fishing_mortality
AGE_SELEX,F,fishing_mortality
DERIVED_QUANTITIES,F,fishing_mortality
F_AT_AGE,F,fishing_mortality
AGE_SELEX,F,fishing_mortality
DERIVED_QUANTITIES,F,fishing_mortality
F_AT_AGE,F,fishing_mortality
DERIVED_QUANTITIES,Bratio,biomass_ratio
DERIVED_QUANTITIES,SSB_unfished,spawning_biomass_unfished
DERIVED_QUANTITIES,Totbio_unfished,biomass_unfished
DERIVED_QUANTITIES,SmryBio_unfished,biomass_unfished_midyear
DERIVED_QUANTITIES,Recr_unfished,recruitment_unfished
DERIVED_QUANTITIES,SSB_Btgt,spawning_biomass_at_biomass_target
DERIVED_QUANTITIES,SPR_Btgt,spr_biomass_target
DERIVED_QUANTITIES,annF_Btgt,annual_F_biomass_target
DERIVED_QUANTITIES,Dead_Catch_Btgt,
DERIVED_QUANTITIES,SSB_SPR,spawning_biomass_spr
DERIVED_QUANTITIES,annF_SPR,f_spr
DERIVED_QUANTITIES,Dead_Catch_SPR,
DERIVED_QUANTITIES,SSB_MSY,spawning_biomass_msy
DERIVED_QUANTITIES,SPR_MSY,spr_msy
DERIVED_QUANTITIES,annF_MSY,f_msy
DERIVED_QUANTITIES,Dead_Catch_MSY,dead_catch_msy
DERIVED_QUANTITIES,Ret_Catch_MSY,catch_msy
DERIVED_QUANTITIES,B_MSY/SSB_unfished,biomass_msy_spawning_biomass_msy
DERIVED_QUANTITIES,ForeCatch,catch
DERIVED_QUANTITIES,OFLCatch,catch_ofl
DERIVED_QUANTITIES,ForeCatchret,catch_retained
DERIVED_QUANTITIES,ln(SPB),ln_spb
MGparm_By_Year_after_adjustments,change?,
MGparm_By_Year_after_adjustments,natm_uniform,
MGparm_By_Year_after_adjustments,l_at_amin,
MGparm_By_Year_after_adjustments,l_at_amax,
MGparm_By_Year_after_adjustments,vonbert_k,K
MGparm_By_Year_after_adjustments,cv_young,
MGparm_By_Year_after_adjustments,cv_old,
MGparm_By_Year_after_adjustments,wtlen,
MGparm_By_Year_after_adjustments,mat50%,
MGparm_By_Year_after_adjustments,mat_slope,
MGparm_By_Year_after_adjustments,eggs/kg_inter,
MGparm_By_Year_after_adjustments,eggs/kg_slope_wt,
MGparm_By_Year_after_adjustments,cohortgrowdev,
MGparm_By_Year_after_adjustments,fracfemale,
OVERALL_COMPS,freq,
OVERALL_COMPS,cum,
OVERALL_COMPS,female,
OVERALL_COMPS,male,
BIOMASS_AT_AGE,biomass,
CATCH,obs,landings_observed_weight
INDEX_2,obs,indices_observed
CATCH,exp,landings_predicted_weight
INDEX_2,exp,indices_predicted
CATCH,mult,
CATCH,exp*mult,
CATCH,f,
CATCH,like,
INDEX_2,like,
CATCH,sel_bio,
CATCH,kill_bio,
CATCH,ret_bio,catch_weight
CATCH,sel_num,
CATCH,kill_num,
CATCH,ret_num,catch_numbers
CATCH,discard,discards_weight
CATCH_AT_AGE,catch,catch_weight
MEAN_SIZE_TIMESERIES,mean_size,
NUMBERS_AT_AGE,numbers,abundance
NUMBERS_AT_LENGTH,numbers,abundance
SPAWN_RECRUIT,spawnbio,spawning_biomass
TIME_SERIES,spawnbio,spawning_biomass
