"key_quantity","value","meaning","dependent_on_other_kq","dependent_kq","dependent_on_other_fxn_args","fxn_with_other_args"
"B.BMSY.end.yr",NA,"biomass relative to BMSY in the final year",NA,NA,NA,NA
"B.end.year",NA,"final year of the biomass time series",NA,NA,NA,NA
"B.max",NA,"maximum biomass",NA,NA,NA,NA
"B.min",NA,"minimum biomass",NA,NA,NA,NA
"B.ref.pt",NA,"biomass limit reference point",NA,NA,NA,NA
"B.start.year",NA,"start year of the biomass time series",NA,NA,NA,NA
"B.units",NA,"units of biomass measurement",NA,NA,NA,NA
"Bend",NA,"biomass at the end of the time series",NA,NA,NA,NA
"Bmsy",NA,"biomass at maximum sustainable yield",NA,NA,NA,NA
"Btarg",NA,"target biomass reference point",NA,NA,NA,NA
"caa.age.max",NA,"maximum age in catch-at-age data",NA,NA,NA,NA
"caa.age.min",NA,"minimum age in catch-at-age data",NA,NA,NA,NA
"caa.end.year",NA,"final year for catch-at-age data",NA,NA,NA,NA
"caa.start.year",NA,"start year for catch-at-age data",NA,NA,NA,NA
"cal.length.max",NA,"maximum length in catch-at-length histograms",NA,NA,NA,NA
"cal.length.min",NA,"minimum length in catch-at-length histograms",NA,NA,NA,NA
"cpue.end.year",NA,"final year of the CPUE time series",NA,NA,NA,NA
"cpue.max",NA,"maximum catch per unit effort",NA,NA,NA,NA
"cpue.min",NA,"minimum catch per unit effort",NA,NA,NA,NA
"cpue.start.year",NA,"start year of the CPUE time series",NA,NA,NA,NA
"cpue.units",NA,"units for catch per unit effort",NA,NA,NA,NA
"F.FMSY.end.yr",NA,"fishing mortality relative to FMSY in the final year",NA,NA,NA,NA
"F.end.year","2022","final year of the fishing mortality time series",NA,NA,NA,NA
"F.max",NA,"maximum fishing mortality",NA,NA,NA,NA
"F.min",NA,"minimum fishing mortality",NA,NA,NA,NA
"F.ref.pt","msy","fishing mortality limit reference point",NA,NA,NA,NA
"F.start.year","1876","start year of the fishing mortality time series",NA,NA,NA,NA
"fecundity.length.max",NA,"maximum fish length for fecundity relationship",NA,NA,NA,NA
"fecundity.length.min",NA,"minimum fish length for fecundity relationship",NA,NA,NA,NA
"fecundity.length.units",NA,"length units for fecundity measurement",NA,NA,NA,NA
"fecundity.max",NA,"maximum observed fecundity",NA,NA,NA,NA
"fecundity.min",NA,"minimum observed fecundity",NA,NA,NA,NA
